,Date (GMT),Count
259,2013-04-26 14:00:00,1
260,2013-04-26 15:00:00,0
261,2013-04-26 16:00:00,0
262,2013-04-26 17:00:00,1
263,2013-04-26 18:00:00,2
264,2013-04-26 19:00:00,1
265,2013-04-26 20:00:00,0
266,2013-04-26 21:00:00,0
267,2013-04-26 22:00:00,0
268,2013-04-26 23:00:00,0
269,2013-04-27 00:00:00,0
270,2013-04-27 01:00:00,0
271,2013-04-27 02:00:00,0
272,2013-04-27 03:00:00,0
273,2013-04-27 04:00:00,0
274,2013-04-27 05:00:00,0
275,2013-04-27 06:00:00,0
276,2013-04-27 07:00:00,0
277,2013-04-27 08:00:00,0
278,2013-04-27 09:00:00,0
279,2013-04-27 10:00:00,1
280,2013-04-27 11:00:00,0
281,2013-04-27 12:00:00,1
282,2013-04-27 13:00:00,1
283,2013-04-27 14:00:00,0
284,2013-04-27 15:00:00,1
285,2013-04-27 16:00:00,1
286,2013-04-27 17:00:00,0
287,2013-04-27 18:00:00,0
288,2013-04-27 19:00:00,0
289,2013-04-27 20:00:00,0
290,2013-04-27 21:00:00,1
291,2013-04-27 22:00:00,0
292,2013-04-27 23:00:00,0
293,2013-04-28 00:00:00,0
294,2013-04-28 01:00:00,0
295,2013-04-28 02:00:00,0
296,2013-04-28 03:00:00,1
297,2013-04-28 04:00:00,0
298,2013-04-28 05:00:00,1
299,2013-04-28 06:00:00,0
300,2013-04-28 07:00:00,0
301,2013-04-28 08:00:00,0
302,2013-04-28 09:00:00,0
303,2013-04-28 10:00:00,0
304,2013-04-28 11:00:00,0
305,2013-04-28 12:00:00,1
306,2013-04-28 13:00:00,0
307,2013-04-28 14:00:00,0
308,2013-04-28 15:00:00,0
309,2013-04-28 16:00:00,0
310,2013-04-28 17:00:00,1
311,2013-04-28 18:00:00,1
312,2013-04-28 19:00:00,1
313,2013-04-28 20:00:00,0
314,2013-04-28 21:00:00,0
315,2013-04-28 22:00:00,0
316,2013-04-28 23:00:00,0
317,2013-04-29 00:00:00,0
318,2013-04-29 01:00:00,0
319,2013-04-29 02:00:00,0
320,2013-04-29 03:00:00,0
321,2013-04-29 04:00:00,1
322,2013-04-29 05:00:00,0
323,2013-04-29 06:00:00,0
324,2013-04-29 07:00:00,0
325,2013-04-29 08:00:00,0
326,2013-04-29 09:00:00,0
327,2013-04-29 10:00:00,0
328,2013-04-29 11:00:00,1
329,2013-04-29 12:00:00,1
330,2013-04-29 13:00:00,0
331,2013-04-29 14:00:00,0
332,2013-04-29 15:00:00,0
333,2013-04-29 16:00:00,2
334,2013-04-29 17:00:00,0
335,2013-04-29 18:00:00,0
336,2013-04-29 19:00:00,0
337,2013-04-29 20:00:00,0
338,2013-04-29 21:00:00,0
339,2013-04-29 22:00:00,0
340,2013-04-29 23:00:00,1
341,2013-04-30 00:00:00,1
342,2013-04-30 01:00:00,1
343,2013-04-30 02:00:00,0
344,2013-04-30 03:00:00,0
345,2013-04-30 04:00:00,0
346,2013-04-30 05:00:00,0
347,2013-04-30 06:00:00,0
348,2013-04-30 07:00:00,0
349,2013-04-30 08:00:00,0
350,2013-04-30 09:00:00,0
351,2013-04-30 10:00:00,0
352,2013-04-30 11:00:00,0
353,2013-04-30 12:00:00,0
354,2013-04-30 13:00:00,0
355,2013-04-30 14:00:00,0
356,2013-04-30 15:00:00,0
357,2013-04-30 16:00:00,0
358,2013-04-30 17:00:00,1
359,2013-04-30 18:00:00,0
360,2013-04-30 19:00:00,0
361,2013-04-30 20:00:00,0
362,2013-04-30 21:00:00,2
363,2013-04-30 22:00:00,0
364,2013-04-30 23:00:00,1
