,Date (GMT),Count
234,2013-04-21 19:00:00,1
235,2013-04-21 20:00:00,1
236,2013-04-21 21:00:00,0
237,2013-04-21 22:00:00,0
238,2013-04-21 23:00:00,0
239,2013-04-22 00:00:00,0
240,2013-04-22 01:00:00,0
241,2013-04-22 02:00:00,0
242,2013-04-22 03:00:00,0
243,2013-04-22 04:00:00,1
244,2013-04-22 05:00:00,0
245,2013-04-22 06:00:00,0
246,2013-04-22 07:00:00,0
247,2013-04-22 08:00:00,0
248,2013-04-22 09:00:00,0
249,2013-04-22 10:00:00,0
250,2013-04-22 11:00:00,0
251,2013-04-22 12:00:00,0
252,2013-04-22 13:00:00,0
253,2013-04-22 14:00:00,0
254,2013-04-22 15:00:00,0
255,2013-04-22 16:00:00,0
256,2013-04-22 17:00:00,2
257,2013-04-22 18:00:00,0
258,2013-04-22 19:00:00,0
259,2013-04-22 20:00:00,1
260,2013-04-22 21:00:00,0
261,2013-04-22 22:00:00,0
262,2013-04-22 23:00:00,0
263,2013-04-23 00:00:00,0
264,2013-04-23 01:00:00,1
265,2013-04-23 02:00:00,0
266,2013-04-23 03:00:00,0
267,2013-04-23 04:00:00,0
268,2013-04-23 05:00:00,0
269,2013-04-23 06:00:00,0
270,2013-04-23 07:00:00,0
271,2013-04-23 08:00:00,0
272,2013-04-23 09:00:00,0
273,2013-04-23 10:00:00,0
274,2013-04-23 11:00:00,0
275,2013-04-23 12:00:00,0
276,2013-04-23 13:00:00,0
277,2013-04-23 14:00:00,1
278,2013-04-23 15:00:00,0
279,2013-04-23 16:00:00,0
280,2013-04-23 17:00:00,0
281,2013-04-23 18:00:00,0
282,2013-04-23 19:00:00,0
283,2013-04-23 20:00:00,0
284,2013-04-23 21:00:00,0
285,2013-04-23 22:00:00,0
286,2013-04-23 23:00:00,0
287,2013-04-24 00:00:00,0
288,2013-04-24 01:00:00,0
289,2013-04-24 02:00:00,0
290,2013-04-24 03:00:00,0
291,2013-04-24 04:00:00,0
292,2013-04-24 05:00:00,0
293,2013-04-24 06:00:00,0
294,2013-04-24 07:00:00,0
295,2013-04-24 08:00:00,0
296,2013-04-24 09:00:00,0
297,2013-04-24 10:00:00,0
298,2013-04-24 11:00:00,0
299,2013-04-24 12:00:00,0
300,2013-04-24 13:00:00,0
301,2013-04-24 14:00:00,0
302,2013-04-24 15:00:00,0
303,2013-04-24 16:00:00,3
304,2013-04-24 17:00:00,1
305,2013-04-24 18:00:00,0
306,2013-04-24 19:00:00,0
307,2013-04-24 20:00:00,0
308,2013-04-24 21:00:00,0
309,2013-04-24 22:00:00,0
310,2013-04-24 23:00:00,0
311,2013-04-25 00:00:00,0
312,2013-04-25 01:00:00,0
313,2013-04-25 02:00:00,0
314,2013-04-25 03:00:00,0
315,2013-04-25 04:00:00,0
316,2013-04-25 05:00:00,1
317,2013-04-25 06:00:00,0
318,2013-04-25 07:00:00,0
319,2013-04-25 08:00:00,0
320,2013-04-25 09:00:00,1
321,2013-04-25 10:00:00,0
322,2013-04-25 11:00:00,0
323,2013-04-25 12:00:00,0
324,2013-04-25 13:00:00,0
325,2013-04-25 14:00:00,0
326,2013-04-25 15:00:00,0
327,2013-04-25 16:00:00,0
328,2013-04-25 17:00:00,0
329,2013-04-25 18:00:00,0
330,2013-04-25 19:00:00,0
331,2013-04-25 20:00:00,0
332,2013-04-25 21:00:00,0
333,2013-04-25 22:00:00,0
334,2013-04-25 23:00:00,0
335,2013-04-26 00:00:00,0
336,2013-04-26 01:00:00,0
337,2013-04-26 02:00:00,0
338,2013-04-26 03:00:00,0
339,2013-04-26 04:00:00,0
340,2013-04-26 05:00:00,0
341,2013-04-26 06:00:00,0
342,2013-04-26 07:00:00,0
343,2013-04-26 08:00:00,1
344,2013-04-26 09:00:00,0
345,2013-04-26 10:00:00,0
346,2013-04-26 11:00:00,0
347,2013-04-26 12:00:00,0
348,2013-04-26 13:00:00,0
349,2013-04-26 14:00:00,0
350,2013-04-26 15:00:00,0
351,2013-04-26 16:00:00,0
352,2013-04-26 17:00:00,0
353,2013-04-26 18:00:00,0
354,2013-04-26 19:00:00,0
355,2013-04-26 20:00:00,0
356,2013-04-26 21:00:00,0
357,2013-04-26 22:00:00,0
358,2013-04-26 23:00:00,0
359,2013-04-27 00:00:00,0
360,2013-04-27 01:00:00,0
361,2013-04-27 02:00:00,0
362,2013-04-27 03:00:00,0
363,2013-04-27 04:00:00,0
364,2013-04-27 05:00:00,0
365,2013-04-27 06:00:00,0
366,2013-04-27 07:00:00,0
367,2013-04-27 08:00:00,0
368,2013-04-27 09:00:00,0
369,2013-04-27 10:00:00,0
370,2013-04-27 11:00:00,0
371,2013-04-27 12:00:00,0
372,2013-04-27 13:00:00,0
373,2013-04-27 14:00:00,0
374,2013-04-27 15:00:00,0
375,2013-04-27 16:00:00,1
376,2013-04-27 17:00:00,0
377,2013-04-27 18:00:00,0
378,2013-04-27 19:00:00,0
379,2013-04-27 20:00:00,0
380,2013-04-27 21:00:00,0
381,2013-04-27 22:00:00,0
382,2013-04-27 23:00:00,0
383,2013-04-28 00:00:00,0
384,2013-04-28 01:00:00,0
385,2013-04-28 02:00:00,0
386,2013-04-28 03:00:00,0
387,2013-04-28 04:00:00,0
388,2013-04-28 05:00:00,1
389,2013-04-28 06:00:00,0
390,2013-04-28 07:00:00,0
391,2013-04-28 08:00:00,0
392,2013-04-28 09:00:00,0
393,2013-04-28 10:00:00,0
394,2013-04-28 11:00:00,0
395,2013-04-28 12:00:00,1
396,2013-04-28 13:00:00,0
397,2013-04-28 14:00:00,0
398,2013-04-28 15:00:00,0
399,2013-04-28 16:00:00,0
400,2013-04-28 17:00:00,0
401,2013-04-28 18:00:00,0
402,2013-04-28 19:00:00,1
403,2013-04-28 20:00:00,0
404,2013-04-28 21:00:00,0
405,2013-04-28 22:00:00,0
406,2013-04-28 23:00:00,0
407,2013-04-29 00:00:00,0
408,2013-04-29 01:00:00,0
409,2013-04-29 02:00:00,0
410,2013-04-29 03:00:00,0
411,2013-04-29 04:00:00,1
412,2013-04-29 05:00:00,0
413,2013-04-29 06:00:00,0
414,2013-04-29 07:00:00,0
415,2013-04-29 08:00:00,0
416,2013-04-29 09:00:00,0
417,2013-04-29 10:00:00,0
418,2013-04-29 11:00:00,0
419,2013-04-29 12:00:00,1
