,Date (GMT),Count
402,2014-05-22,0
403,2014-05-23,0
404,2014-05-24,0
405,2014-05-25,0
406,2014-05-26,0
407,2014-05-27,0
408,2014-05-28,0
409,2014-05-29,0
410,2014-05-30,0
411,2014-05-31,0
412,2014-06-01,0
413,2014-06-02,0
414,2014-06-03,0
415,2014-06-04,0
416,2014-06-05,0
417,2014-06-06,0
418,2014-06-07,0
419,2014-06-08,0
420,2014-06-09,1
421,2014-06-10,0
422,2014-06-11,0
423,2014-06-12,0
424,2014-06-13,0
425,2014-06-14,0
426,2014-06-15,0
427,2014-06-16,0
428,2014-06-17,0
429,2014-06-18,0
430,2014-06-19,0
431,2014-06-20,0
432,2014-06-21,0
433,2014-06-22,1
434,2014-06-23,0
435,2014-06-24,0
436,2014-06-25,0
437,2014-06-26,0
438,2014-06-27,0
439,2014-06-28,0
440,2014-06-29,0
441,2014-06-30,1
442,2014-07-01,0
443,2014-07-02,0
444,2014-07-03,0
445,2014-07-04,0
446,2014-07-05,0
447,2014-07-06,0
448,2014-07-07,0
449,2014-07-08,0
450,2014-07-09,0
451,2014-07-10,0
452,2014-07-11,0
453,2014-07-12,0
454,2014-07-13,0
455,2014-07-14,0
456,2014-07-15,0
457,2014-07-16,0
458,2014-07-17,0
459,2014-07-18,0
460,2014-07-19,0
461,2014-07-20,0
462,2014-07-21,0
463,2014-07-22,0
464,2014-07-23,0
465,2014-07-24,0
466,2014-07-25,0
467,2014-07-26,0
468,2014-07-27,0
469,2014-07-28,0
470,2014-07-29,0
471,2014-07-30,0
472,2014-07-31,0
473,2014-08-01,0
474,2014-08-02,0
475,2014-08-03,0
476,2014-08-04,0
477,2014-08-05,0
478,2014-08-06,0
479,2014-08-07,0
480,2014-08-08,0
481,2014-08-09,0
482,2014-08-10,0
483,2014-08-11,0
484,2014-08-12,0
485,2014-08-13,0
486,2014-08-14,0
487,2014-08-15,0
488,2014-08-16,0
489,2014-08-17,0
490,2014-08-18,0
491,2014-08-19,0
492,2014-08-20,0
493,2014-08-21,0
494,2014-08-22,0
495,2014-08-23,0
496,2014-08-24,0
497,2014-08-25,0
498,2014-08-26,0
499,2014-08-27,0
500,2014-08-28,0
501,2014-08-29,0
502,2014-08-30,0
503,2014-08-31,0
504,2014-09-01,0
505,2014-09-02,0
506,2014-09-03,0
507,2014-09-04,0
508,2014-09-05,0
509,2014-09-06,0
510,2014-09-07,0
511,2014-09-08,0
512,2014-09-09,0
513,2014-09-10,0
514,2014-09-11,0
515,2014-09-12,0
516,2014-09-13,0
517,2014-09-14,0
518,2014-09-15,0
519,2014-09-16,0
520,2014-09-17,0
521,2014-09-18,0
522,2014-09-19,0
523,2014-09-20,0
524,2014-09-21,0
525,2014-09-22,0
